cv_matched,required_level,importance,basic_score,intermediate_score,advanced_score,total_score,target_level
True,basic,required,0.7068,0.2483,0.24,0.4023,basic
False,advanced,preferred,0.9341,0.7901,0.9532,0.8774,advanced
True,advanced,required,1.0,0.841,0.9429,0.9098,advanced
False,basic,required,0.8353,0.345,0.0,0.4092,basic
False,advanced,required,0.9312,0.9396,0.7805,0.8956,advanced
True,advanced,required,0.9967,0.9203,0.2266,0.7845,intermediate
False,intermediate,preferred,0.9265,0.8033,0.2452,0.6873,intermediate
False,intermediate,preferred,0.8051,0.5262,0.0596,0.5026,basic
True,basic,required,0.9015,0.773,0.1856,0.6668,intermediate
False,advanced,required,0.5686,0.3618,0.1145,0.382,basic
True,intermediate,required,0.9075,0.9483,0.7444,0.8656,advanced
False,advanced,required,0.8241,0.9247,0.5105,0.7812,intermediate
False,advanced,required,0.8497,0.7178,0.6138,0.7293,intermediate
True,basic,required,0.9183,0.9213,0.3712,0.7457,intermediate
True,advanced,required,0.9965,0.8885,0.9264,0.9188,advanced
False,intermediate,required,0.708,0.4708,0.0459,0.4808,basic
True,basic,required,0.9651,0.6784,0.2776,0.6736,intermediate
True,basic,required,1.0,0.9282,0.8072,0.9188,advanced
True,advanced,required,0.7605,0.8082,0.3708,0.6912,intermediate
False,advanced,required,0.9019,0.7032,0.2293,0.6587,intermediate
False,intermediate,preferred,0.6888,0.5056,0.0,0.4154,basic
True,basic,required,0.9713,0.8567,0.8697,0.8953,advanced
True,intermediate,required,0.7581,0.3846,0.0408,0.3847,basic
False,advanced,required,0.9387,0.8981,0.9837,0.905,advanced
False,intermediate,required,0.9363,0.6518,0.3883,0.6944,intermediate
True,basic,required,0.963,0.7512,0.9032,0.8903,advanced
True,advanced,required,0.9323,0.7928,0.1614,0.7113,intermediate
True,basic,required,0.9683,1.0,0.6239,0.9009,advanced
True,intermediate,required,0.9254,0.7167,0.3669,0.6917,intermediate
True,basic,preferred,0.8772,0.6869,0.5052,0.6981,intermediate
True,advanced,required,0.562,0.1822,0.0928,0.2808,basic
True,basic,required,0.793,0.3974,0.1434,0.4674,basic
True,intermediate,required,0.9702,0.8502,0.5157,0.809,advanced
True,intermediate,required,0.9538,0.5735,0.3484,0.6486,intermediate
False,advanced,preferred,0.8148,0.8693,0.2789,0.6893,intermediate
False,intermediate,required,0.6628,0.1843,0.0366,0.3585,basic
True,basic,required,1.0,0.8588,0.4421,0.781,intermediate
True,advanced,required,0.9675,0.7956,0.9391,0.8862,advanced
True,intermediate,required,0.8258,0.5518,0.0716,0.5154,basic
True,basic,preferred,0.8137,0.6605,0.2437,0.5907,intermediate
True,intermediate,required,0.9633,0.8384,0.7641,0.8619,advanced
True,intermediate,preferred,0.8121,0.6688,0.2441,0.641,intermediate
True,intermediate,required,0.9981,0.7983,0.8473,0.8751,advanced
True,intermediate,required,0.8853,0.6665,0.3144,0.6437,intermediate
True,basic,required,0.9657,0.8397,0.6992,0.8292,advanced
True,advanced,required,0.8437,0.85,0.6961,0.7767,advanced
False,advanced,required,0.8465,0.6542,0.394,0.6738,intermediate
True,advanced,required,1.0,0.6635,0.5995,0.7481,intermediate
True,intermediate,preferred,0.5447,0.1472,0.0463,0.2538,basic
False,intermediate,required,0.817,0.3922,0.2178,0.5077,basic
False,advanced,preferred,0.8682,0.1602,0.0823,0.3844,basic
False,intermediate,required,1.0,0.8238,1.0,0.9318,advanced
False,intermediate,required,0.9537,0.1865,0.1209,0.4807,basic
True,advanced,preferred,0.9971,0.9234,0.947,0.961,advanced
False,intermediate,required,0.5961,0.0,0.1753,0.2303,basic
True,advanced,required,0.996,0.9161,0.9183,0.9211,advanced
False,intermediate,preferred,0.8195,0.7156,0.3761,0.6597,intermediate
True,basic,required,0.8353,0.821,0.5302,0.7598,intermediate
True,basic,preferred,0.9747,0.7812,0.7,0.8239,advanced
True,intermediate,required,0.5715,0.5876,0.0,0.4389,basic
True,advanced,preferred,1.0,0.7081,0.2165,0.6938,intermediate
True,basic,required,0.7236,0.2083,0.1828,0.3775,basic
False,intermediate,preferred,0.9183,0.5642,0.4645,0.6692,intermediate
True,basic,preferred,0.8565,0.5774,0.2042,0.5656,basic
True,basic,preferred,0.8455,0.5629,0.2365,0.5553,basic
False,advanced,required,0.8933,0.4312,0.4756,0.5978,intermediate
True,advanced,required,0.9834,0.7276,0.9332,0.8731,advanced
True,intermediate,required,0.9044,0.8324,0.7717,0.8301,advanced
False,advanced,preferred,0.6921,0.3659,0.111,0.4359,basic
